measure_date,rainfall,temperature,humidity,precipitation_type,loc_id
2020-01-06 22:00:00,1.5,5.7,99.0,1.0,1
2020-01-06 23:00:00,1.5,5.9,99.0,1.0,1
2020-01-07 00:00:00,1.5,6.3,99.0,1.0,1
2020-01-07 01:00:00,1.5,6.6,99.0,1.0,1
2020-01-07 02:00:00,2.0,6.9,99.0,1.0,1
2020-01-07 03:00:00,1.5,7.0,99.0,1.0,1
2020-01-07 04:00:00,0.5,7.2,99.0,1.0,1
2020-01-07 05:00:00,0.5,7.2,99.0,1.0,1
2020-01-07 06:00:00,1.0,7.3,99.0,1.0,1
2020-01-07 07:00:00,3.0,7.6,99.0,1.0,1
2020-01-07 08:00:00,4.0,8.1,99.0,1.0,1
2020-01-07 09:00:00,3.0,8.5,99.0,1.0,1
2020-01-07 10:00:00,5.0,13.3,99.0,1.0,1
2020-01-07 11:00:00,1.5,12.1,99.0,1.0,1
2020-01-07 12:00:00,1.0,11.3,99.0,0.0,1
2020-01-07 13:00:00,0.0,10.7,98.0,0.0,1
2020-01-07 14:00:00,0.0,7.6,96.0,1.0,1
2020-01-07 15:00:00,0.0,5.9,96.0,1.0,1
2020-01-07 16:00:00,0.5,5.7,96.0,1.0,1
2020-01-07 17:00:00,1.5,4.6,94.0,1.0,1
2020-01-07 18:00:00,0.5,3.7,97.0,1.0,1
2020-01-07 19:00:00,0.0,4.2,93.0,1.0,1
2020-01-07 20:00:00,0.5,4.0,92.0,1.0,1
2020-01-07 21:00:00,0.0,3.8,92.0,1.0,1
2020-01-07 22:00:00,0.5,3.4,94.0,1.0,1
2020-01-07 23:00:00,1.0,3.2,94.0,1.0,1
2020-01-08 00:00:00,1.0,3.2,95.0,1.0,1
2020-01-08 01:00:00,0.0,3.4,94.0,0.0,1
2020-01-08 02:00:00,0.0,3.2,93.0,0.0,1
2020-01-08 03:00:00,0.0,3.2,93.0,1.0,1
2020-01-08 04:00:00,0.0,3.2,92.0,0.0,1
2020-01-08 05:00:00,0.0,3.2,91.0,0.0,1
